Hãng xe,Dòng xe,Xuất xứ,Kiểu dáng,Hộp số,Loại động cơ,Năm sản xuất,Số Km đã đi,Số ngày bài đã đăng,Dung tích động cơ,Giá thực tế
mercedes,benz glc 200 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,30000.0,60.0,2.0,1360.0
mazda,cx8 luxury 2019,lắp ráp trong nước,suv,số tự động,xăng,2019.0,73000.0,93.0,2.5,699.0
toyota,vios 1.5e cvt 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,50000.0,59.0,1.5,360.0
kia,sonet luxury 1.5 at 2025,lắp ráp trong nước,suv,số tự động,xăng,2025.0,2000.0,58.0,1.5,585.0
hyundai,santafe 2.4l 4wd 2017,lắp ráp trong nước,suv,số tự động,xăng,2017.0,80000.0,79.0,2.4,560.0
hyundai,accent 1.4 at đặc biệt 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,50000.0,60.0,1.4,410.0
toyota,vios 1.5e 2008,lắp ráp trong nước,sedan,số tay,xăng,2008.0,200000.0,88.0,1.5,118.0
mercedes,benz glc 200 4matic 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,179626.7683965918,57.0,2.0,1399.0
honda,civic 1.8 mt 2010,lắp ráp trong nước,sedan,số tay,xăng,2010.0,155000.0,84.0,1.8,195.0
hyundai,santafe premium 2.4l htrac 2019,lắp ráp trong nước,suv,số tự động,xăng,2019.0,83000.0,57.0,2.4,789.0
mercedes,benz c class c200 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,90000.0,64.0,2.0,590.0
mercedes,benz c class c200 2017,lắp ráp trong nước,sedan,số tự động,xăng,2017.0,71000.0,57.0,2.0,639.0
kia,carnival signature 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,71000.0,70.0,2.2,1120.0
kia,carnival premium 2.2d 2022,lắp ráp trong nước,van/minivan,số tự động,dầu,2022.0,61000.0,60.0,2.2,1125.0
mercedes,benz c class c43 amg 4matic coupe 2017,nhập khẩu,coupe,số tự động,xăng,2017.0,22000.0,77.0,3.0,1859.0
